date,month,year,Temp,Flow,Level,count,october_Flow,november_Flow,december_Temp,january_Temp,feburary_Temp,october_Level,november_Level,rolling_mean_Temp,rolling_std_Temp,rolling_mean_Flow,rolling_std_Flow,rolling_mean_Level,rolling_std_Level
2018-05-06,5,2018,16.6875,7.895000219345094,0.87950000166893,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,10.355795454545454,2.7194540433381342,19.028666710853578,13.081081407028087,1.1122166633605957,0.21589826474075743
2018-05-07,5,2018,16.05,8.240000009536743,0.8864999711513519,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,10.5202398989899,2.9095636576866504,18.205000019073488,12.951587594562959,1.0958166629076005,0.21364829125059542
2018-05-08,5,2018,15.345833333333331,7.945000171661378,0.878000020980835,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,10.733156565656566,3.022832961787499,17.324833377202353,12.7115624894965,1.078016663591067,0.20858217313554528
2018-05-09,5,2018,16.691666666666666,8.585000038146973,0.8914999961853028,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,10.954267676767676,3.2086618053726066,16.749333397547403,12.703109897015107,1.0646833310524622,0.20724541315627926
2018-05-10,5,2018,11.954166666666666,7.53000009059906,0.870000034570694,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,11.039823232323233,3.1996511194562816,16.330333387851717,12.79574732392915,1.0538499971230826,0.2086878118218766
2018-05-11,5,2018,12.079166666666666,6.974999785423278,0.8595000207424163,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,11.148434343434342,3.1769519044902745,15.772833402951559,12.827891811421528,1.0411999970674515,0.20857961249429047
2018-05-12,5,2018,14.758333333333333,6.260000109672546,0.839000016450882,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,11.428156565656565,3.110141429617278,15.139833374818165,12.812636627164911,1.0268166641394296,0.20709469086624735
2018-05-13,5,2018,18.191666666666663,6.099999904632568,0.8325000107288361,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,11.772739898989899,3.2691132749779914,14.199833397070567,12.38581599417928,1.0092833330233892,0.20019651992205523
2018-05-14,5,2018,19.675,5.845000147819518,0.8234999775886536,55.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,12.184545454545454,3.4614361913735574,12.026333363850911,6.283484897615831,0.976350000500679,0.1339977571484162
2018-05-15,5,2018,19.695833333333333,5.419999718666077,0.8100000023841858,29.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,12.591351010101011,3.6050552924209005,11.077000033855438,4.853483096831388,0.9570166677236557,0.11235093536396047
2018-05-16,5,2018,16.570833333333333,4.995000243186951,0.7970000207424164,30.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,12.894823232323231,3.541416599631443,10.363500022888184,4.026021202436356,0.9409333348274231,0.09824474409393047
2018-05-17,5,2018,15.216666666666669,4.465000092983246,0.7799999713897705,117.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,13.138156565656566,3.4368183724961696,9.729000025987625,3.3228753509675792,0.9259333332379659,0.08620322032071796
2018-05-18,5,2018,15.070833333333333,3.9950000047683716,0.7639999985694885,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,13.390972222222222,3.2822138172741733,9.240500022967657,3.0305289384739935,0.9132999996344249,0.08090336748406203
2018-05-19,5,2018,15.583333333333334,3.734999895095825,0.7549999952316284,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,13.663333333333332,3.1031341143137654,8.853333355983098,2.9643087568613136,0.9026333332061768,0.07993833036564334
2018-05-20,5,2018,16.495833333333334,3.484999895095825,0.7460000216960907,0.0,7.254500059350844,48.33549989660581,1.621505376344086,4.488709677419355,3.4648809523809523,0.7448548371753385,1.3618833293517432,13.87888888888889,3.0663679603191407,8.529666695992152,3.0037493818496337,0.8932833333810171,0.08134268238338685
