date,month,year,Temp,Flow,Level,count,october_Flow,november_Flow,december_Temp,january_Temp,feburary_Temp,october_Level,november_Level,rolling_mean_Temp,rolling_std_Temp,rolling_mean_Flow,rolling_std_Flow,rolling_mean_Level,rolling_std_Level
2016-01-01,1,2016,-3.0083333333333333,6.985000133514404,0.804500013589859,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-02,1,2016,-2.3874999999999997,6.485000133514404,0.7864999771118165,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-03,1,2016,-1.4791666666666667,6.0950000286102295,0.7725000083446503,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-04,1,2016,1.0166666666666666,5.889999866485596,0.7660000026226044,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-05,1,2016,-0.0916666666666666,5.694999933242798,0.7589999735355377,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-06,1,2016,2.2624999999999997,5.59499979019165,0.75450000166893,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-07,1,2016,2.1666666666666665,5.700000047683716,0.7569999992847443,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-08,1,2016,2.9125,5.56499981880188,0.7520000040531158,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-09,1,2016,1.5333333333333332,5.4700000286102295,0.7475000023841858,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-10,1,2016,2.308333333333333,5.31499981880188,0.7414999902248383,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-11,1,2016,-0.6875,5.370000123977661,0.7434999942779541,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-12,1,2016,3.675,11.514999866485596,0.8999999761581421,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-13,1,2016,6.5625,61.94999885559082,1.6699999570846558,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-14,1,2016,3.4875000000000003,32.64999961853027,1.3355000019073486,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-15,1,2016,0.4583333333333333,21.699999809265137,1.155000001192093,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-16,1,2016,5.5375000000000005,39.35000038146973,1.415499985218048,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
2016-01-17,1,2016,7.575,63.20000076293945,1.7324999570846558,0.0,3.760241942059609,28.382500131924946,4.0150973506698024,3.892069892473118,6.152298850574712,0.6306774193240751,1.1550833404064178,9.959583333333335,2.4534051407409465,7.616408366709948,3.0651382983486872,0.8260916630427042,0.08700855043699904
