date,month,year,Temp,Flow,Level,count,october_Flow,november_Flow,december_Temp,january_Temp,feburary_Temp,october_Level,november_Level,rolling_Temp_mean_15,rolling_Temp_mean_10,rolling_Temp_mean_5,rolling_Flow_mean_15,rolling_Flow_mean_10,rolling_Flow_mean_5,rolling_Level_mean_15,rolling_Level_mean_10,rolling_Level_mean_5,rolling_Temp_std_15,rolling_Temp_std_10,rolling_Temp_std_5,rolling_Flow_std_15,rolling_Flow_std_10,rolling_Flow_std_5,rolling_Level_std_15,rolling_Level_std_10,rolling_Level_std_5
2013-09-02,9,2013,19.12727272727273,0.8754999786615371,0.5480000078678131,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-03,9,2013,18.045833333333334,0.7905000001192093,0.5405000001192093,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-04,9,2013,17.0625,0.7490000277757645,0.5364999920129776,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-05,9,2013,16.837500000000002,0.6944999843835831,0.5300000011920929,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-06,9,2013,16.954166666666666,0.6679999828338622,0.527999997138977,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-07,9,2013,18.058333333333337,0.6199999898672104,0.5224999934434891,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-08,9,2013,18.045833333333334,0.5720000118017197,0.5165000110864639,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-09,9,2013,18.704166666666666,0.5390000194311142,0.5129999816417694,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-10,9,2013,18.070833333333333,0.5160000026226044,0.5109999924898148,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
2013-09-11,9,2013,20.675,0.47849999368190765,0.5050000101327896,0.0,7.6791290881172305,28.382500131924946,3.965188172043011,4.324904779583642,3.4648809523809523,0.7958064511899026,1.1664500027894973,9.475833333333332,9.628333333333334,9.693333333333333,7.281833306948344,6.6765000998973845,6.172500038146973,0.8513166656096777,0.8432499915361404,0.8236999958753586,2.1600084672992743,1.9500063805688577,1.5714292566636032,2.0419623001952054,1.4169616509365397,0.7456101979060428,0.06048941954341104,0.04276644206281593,0.024902815651364832
