tag_id,date,stage,origin,fork_length_mm,action,species
989.001038731196,2021-05-10,facility,hatch,,tag,ck
989.001040924543,2023-05-03,facility,hatch,,tag,co
989.001040924544,2023-05-03,facility,hatch,,tag,co
989.001040924545,2023-05-03,facility,hatch,,tag,co
989.001040924546,2023-05-03,facility,hatch,,tag,co
989.001040924547,2023-05-03,facility,hatch,,tag,co
989.001040924548,2023-05-03,facility,hatch,,tag,co
989.001040924549,2023-05-03,facility,hatch,,tag,co
989.001040924550,2023-05-03,facility,hatch,,tag,co
989.001040924551,2023-05-03,facility,hatch,,tag,co
989.001040924552,2023-05-03,facility,hatch,,tag,co
989.001040924553,2023-05-03,facility,hatch,,tag,co
989.001040924554,2023-05-03,facility,hatch,,tag,co
989.001040924555,2023-05-03,facility,hatch,,tag,co
989.001040924556,2023-05-03,facility,hatch,,tag,co
989.001040924557,2023-05-03,facility,hatch,,tag,co
989.001040924558,2023-05-03,facility,hatch,,tag,co
989.001040924559,2023-05-03,facility,hatch,,tag,co
989.001040924560,2023-05-03,facility,hatch,,tag,co
989.001040924561,2023-05-03,facility,hatch,,tag,co
989.001042363717,2023-05-23,facility,hatch,,tag,ck
989.001040924562,2023-05-03,facility,hatch,,tag,co
989.001040924563,2023-05-03,facility,hatch,,tag,co
989.001040924564,2023-05-03,facility,hatch,,tag,co
989.001040924565,2023-05-03,facility,hatch,,tag,co
989.001040924566,2023-05-03,facility,hatch,,tag,co
989.001040924567,2023-05-03,facility,hatch,,tag,co
989.001040924568,2023-05-03,facility,hatch,,tag,co
989.001040924569,2023-05-03,facility,hatch,,tag,co
989.001040924570,2023-05-03,facility,hatch,,tag,co
989.001040924571,2023-05-03,facility,hatch,,tag,co
989.001040924572,2023-05-03,facility,hatch,,tag,co
989.001040924573,2023-05-03,facility,hatch,,tag,co
989.001040924574,2023-05-03,facility,hatch,,tag,co
989.001040924575,2023-05-03,facility,hatch,,tag,co
989.001040924576,2023-05-03,facility,hatch,,tag,co
989.001040924577,2023-05-03,facility,hatch,,tag,co
989.001040924578,2023-05-03,facility,hatch,,tag,co
989.001040924579,2023-05-03,facility,hatch,,tag,co
989.001040924580,2023-05-03,facility,hatch,,tag,co
989.001040924581,2023-05-03,facility,hatch,,tag,co
989.001040924582,2023-05-03,facility,hatch,,tag,co
989.001040924583,2023-05-03,facility,hatch,,tag,co
989.001040924584,2023-05-03,facility,hatch,,tag,co
989.001040924585,2023-05-03,facility,hatch,,tag,co
989.001040924586,2023-05-03,facility,hatch,,tag,co
989.001040924587,2023-05-03,facility,hatch,,tag,co
989.001040924588,2023-05-03,facility,hatch,,tag,co
989.001040924589,2023-05-03,facility,hatch,,tag,co
989.001040924590,2023-05-03,facility,hatch,,tag,co
989.001040924591,2023-05-03,facility,hatch,,tag,co
989.001040924592,2023-05-03,facility,hatch,,tag,co
989.001040924593,2023-05-03,facility,hatch,,tag,co
989.001040924594,2023-05-03,facility,hatch,,tag,co
989.001040924595,2023-05-03,facility,hatch,,tag,co
989.001040924596,2023-05-03,facility,hatch,,tag,co
989.001040924597,2023-05-03,facility,hatch,,tag,co
989.001040924598,2023-05-03,facility,hatch,,tag,co
989.001040924599,2023-05-03,facility,hatch,,tag,co
989.001040924600,2023-05-03,facility,hatch,,tag,co
989.001040924601,2023-05-03,facility,hatch,,tag,co
989.001040924602,2023-05-03,facility,hatch,,tag,co
989.001040924603,2023-05-03,facility,hatch,,tag,co
989.001040924604,2023-05-03,facility,hatch,,tag,co
989.001040924605,2023-05-03,facility,hatch,,tag,co
989.001040924606,2023-05-03,facility,hatch,,tag,co
989.001040924607,2023-05-03,facility,hatch,,tag,co
989.001040924608,2023-05-03,facility,hatch,,tag,co
989.001040924609,2023-05-03,facility,hatch,,tag,co
989.001040924610,2023-05-03,facility,hatch,,tag,co
989.001040924611,2023-05-03,facility,hatch,,tag,co
989.001040924612,2023-05-03,facility,hatch,,tag,co
989.001040924613,2023-05-03,facility,hatch,,tag,co
989.001038731197,2021-05-10,facility,hatch,,tag,ck
989.001040924614,2023-05-03,facility,hatch,,tag,co
989.001040924615,2023-05-03,facility,hatch,,tag,co
989.001040924616,2023-05-03,facility,hatch,,tag,co
989.001040924617,2023-05-03,facility,hatch,,tag,co
989.001040924618,2023-05-03,facility,hatch,,tag,co
989.001040924619,2023-05-03,facility,hatch,,tag,co
989.001040924620,2023-05-03,facility,hatch,,tag,co
989.001040924621,2023-05-03,facility,hatch,,tag,co
989.001040924622,2023-05-03,facility,hatch,,tag,co
989.001040924623,2023-05-03,facility,hatch,,tag,co
989.001040924624,2023-05-03,facility,hatch,,tag,co
989.001040924625,2023-05-03,facility,hatch,,tag,co
989.001040924626,2023-05-03,facility,hatch,,tag,co
989.001040924627,2023-05-03,facility,hatch,,tag,co
989.001040924628,2023-05-03,facility,hatch,,tag,co
989.001040924629,2023-05-03,facility,hatch,,tag,co
989.001040924630,2023-05-03,facility,hatch,,tag,co
989.001040924631,2023-05-03,facility,hatch,,tag,co
989.001040924632,2023-05-03,facility,hatch,,tag,co
989.001040924633,2023-05-03,facility,hatch,,tag,co
989.001040924634,2023-05-03,facility,hatch,,tag,co
989.001042363718,2023-05-23,facility,hatch,,tag,ck
989.001040924635,2023-05-03,facility,hatch,,tag,co
989.001040924636,2023-05-03,facility,hatch,,tag,co
989.001040924637,2023-05-03,facility,hatch,,tag,co
989.001040924638,2023-05-03,facility,hatch,,tag,co
