tag_id_long,date,stage,origin,fork_length_mm,action,species
0000000000000000,2023-10-31,microtroll,wild,307.0,unclip,co
982.000403134521,2020-10-15,microtroll,wild,452.0,unclip,ck
982.091062627359,2022-11-21,microtroll,wild,320.0,clip,co
982.091063082520,2022-10-18,microtroll,wild,325.0,clip,ck
989.001006598880,2021-03-15,microtroll,wild,263.0,unclip,ck
989.001006598897,2021-03-15,microtroll,wild,271.0,unclip,ck
989.001006598907,2021-03-15,microtroll,wild,226.0,unclip,ck
989.001006598956,2021-03-15,microtroll,wild,289.0,unclip,ck
989.001006607964,2020-10-06,microtroll,wild,250.0,unclip,co
989.001006607965,2020-10-06,microtroll,wild,260.0,unclip,co
989.001006607966,2020-10-06,microtroll,wild,305.0,clip,co
989.001006607967,2020-10-06,microtroll,wild,291.0,unclip,co
989.001006607968,2020-10-06,microtroll,wild,248.0,unclip,co
989.001006607969,2020-10-06,microtroll,wild,295.0,unclip,co
989.001006607970,2020-10-06,microtroll,wild,304.0,unclip,co
989.001006607971,2020-10-06,microtroll,wild,315.0,unclip,co
989.001006607972,2020-10-06,microtroll,wild,265.0,unclip,co
989.001006607973,2020-10-06,microtroll,wild,284.0,unclip,co
989.001006607974,2020-10-06,microtroll,wild,306.0,clip,co
989.001006607975,2020-10-07,microtroll,wild,400.0,unclip,co
989.001006607976,2020-10-07,microtroll,wild,220.0,unclip,co
989.001006607977,2020-10-06,microtroll,wild,306.0,unclip,co
989.001006607978,2020-10-06,microtroll,wild,275.0,unclip,co
989.001006607979,2020-10-07,microtroll,wild,435.0,unclip,ck
989.001006607980,2020-10-06,microtroll,wild,245.0,unclip,co
989.001006607981,2020-10-06,microtroll,wild,304.0,unclip,co
989.001006607982,2020-10-06,microtroll,wild,216.0,unclip,ck
989.001006607983,2020-10-06,microtroll,wild,281.0,unclip,co
989.001006607984,2020-10-06,microtroll,wild,,,
989.001006607985,2020-10-06,microtroll,wild,288.0,unclip,co
989.001006607986,2020-10-07,microtroll,wild,264.0,unclip,co
989.001006607987,2020-10-07,microtroll,wild,246.0,unclip,ck
989.001006607988,2020-10-06,microtroll,wild,308.0,clip,co
989.001006607989,2020-10-06,microtroll,wild,251.0,unclip,co
989.001006607990,2020-10-06,microtroll,wild,278.0,unclip,co
989.001006607991,2020-10-07,microtroll,wild,260.0,unclip,co
989.001006607992,2020-10-07,microtroll,wild,297.0,unclip,co
989.001006607993,2020-10-07,microtroll,wild,299.0,unclip,co
989.001006607994,2020-10-07,microtroll,wild,245.0,unclip,co
989.001006607995,2020-10-06,microtroll,wild,260.0,unclip,co
989.001006607996,2020-10-06,microtroll,wild,260.0,unclip,co
989.001006607997,2020-10-06,microtroll,wild,300.0,clip,co
989.001006607998,2020-10-06,microtroll,wild,292.0,unclip,co
989.001006607999,2020-10-06,microtroll,wild,320.0,unclip,co
989.001006608000,2020-10-06,microtroll,wild,336.0,unclip,co
989.001006608001,2020-10-07,microtroll,wild,276.0,unclip,ck
989.001006608002,2020-10-07,microtroll,wild,306.0,unclip,co
989.001006608003,2020-10-07,microtroll,wild,445.0,unclip,ck
989.001006608004,2020-10-06,microtroll,wild,298.0,clip,co
989.001006608005,2020-10-06,microtroll,wild,256.0,unclip,co
989.001006608006,2020-10-06,microtroll,wild,309.0,unclip,co
989.001006608007,2020-10-06,microtroll,wild,328.0,clip,co
989.001006608008,2020-10-06,microtroll,wild,230.0,unclip,ck
989.001006608009,2020-10-06,microtroll,wild,302.0,unclip,co
989.001006608010,2020-10-06,microtroll,wild,256.0,unclip,co
989.001006608011,2020-10-07,microtroll,wild,282.0,clip,ck
989.001006608012,2020-10-07,microtroll,wild,255.0,unclip,co
989.001006608013,2020-10-06,microtroll,wild,281.0,unclip,co
989.001006608014,2020-10-06,microtroll,wild,300.0,clip,co
989.001006608015,2020-10-07,microtroll,wild,255.0,unclip,co
989.001006608016,2020-10-07,microtroll,wild,284.0,unclip,co
989.001006608017,2020-10-06,microtroll,wild,302.0,clip,co
989.001006608018,2020-10-07,microtroll,wild,470.0,unclip,ck
989.001006608019,2020-10-07,microtroll,wild,270.0,unclip,co
989.001006608020,2020-10-06,microtroll,wild,316.0,unclip,co
989.001006608021,2020-10-06,microtroll,wild,295.0,unclip,co
989.001006608022,2020-10-06,microtroll,wild,282.0,unclip,co
989.001006608023,2020-10-06,microtroll,wild,305.0,unclip,co
989.001006608024,2020-10-06,microtroll,wild,305.0,clip,co
989.001006608025,2020-10-06,microtroll,wild,247.0,unclip,co
989.001006608026,2020-10-06,microtroll,wild,259.0,unclip,co
989.001006608027,2020-10-06,microtroll,wild,305.0,unclip,co
989.001006608028,2020-10-06,microtroll,wild,296.0,clip,co
989.001006608029,2020-10-06,microtroll,wild,290.0,unclip,co
989.001006608030,2020-10-06,microtroll,wild,302.0,clip,co
989.001006608031,2020-10-06,microtroll,wild,239.0,unclip,ck
989.001006608032,2020-10-06,microtroll,wild,305.0,unclip,co
989.001006608033,2020-10-06,microtroll,wild,300.0,clip,co
989.001006608034,2020-10-06,microtroll,wild,303.0,unclip,co
989.001006608035,2020-10-06,microtroll,wild,274.0,unclip,co
989.001006608036,2020-10-06,microtroll,wild,305.0,unclip,co
989.001006608037,2020-10-06,microtroll,wild,278.0,unclip,co
989.001006608038,2020-10-06,microtroll,wild,268.0,unclip,ck
989.001006608039,2020-10-06,microtroll,wild,254.0,unclip,co
989.001006608040,2020-10-07,microtroll,wild,240.0,unclip,ck
989.001006608041,2020-10-07,microtroll,wild,220.0,unclip,ck
989.001006608042,2020-10-06,microtroll,wild,281.0,unclip,co
989.001006608043,2020-10-06,microtroll,wild,274.0,unclip,co
989.001006608044,2020-10-07,microtroll,wild,280.0,unclip,ck
989.001006608045,2020-10-06,microtroll,wild,275.0,unclip,co
