tag_id_long,river,year,date,stock,pfma,latregion,fork_length_mm,annotated_species,confirmed_species
989.001006608049,comox,2020,2020-10-06,Eagle_R,14,Northern SoG,288.0,co,coho
989.001006607996,comox,2020,2020-10-06,Nathan_Cr,14,Northern SoG,260.0,co,coho
989.001006607999,comox,2020,2020-10-06,Stave_R,14,Northern SoG,320.0,co,coho
989.001034166384,lasqueti,2020,2020-10-07,Pig_Channel,14,Northern SoG,270.0,co,coho
989.001034166422,lasqueti,2020,2020-10-07,Serpentine_R,14,Northern SoG,320.0,co,coho
989.001034166414,lasqueti,2020,2020-10-07,Chehalis_R,14,Northern SoG,297.0,co,coho
989.001034166455,lasqueti,2020,2020-10-07,Jones_Cr,14,Northern SoG,304.0,co,coho
989.001034166362,lasqueti,2020,2020-10-07,Mamquam_R,14,Northern SoG,282.0,co,coho
989.001034166461,lasqueti,2020,2020-10-07,Mamquam_R,14,Northern SoG,235.0,co,coho
989.001034166434,lasqueti,2020,2020-10-07,Nathan_Cr,14,Northern SoG,305.0,co,coho
989.001034166406,lasqueti,2020,2020-10-07,Jones_Cr,16,Northern SoG,293.0,co,coho
989.001006607994,comox,2020,2020-10-07,Puntledge_R,14,Northern SoG,245.0,co,coho
989.001006608012,comox,2020,2020-10-07,Mamquam_R,14,Northern SoG,255.0,co,coho
989.001006607986,comox,2020,2020-10-07,Harbour_Cr,14,Northern SoG,264.0,co,coho
989.001034169065,comox,2020,2020-10-07,Chilliwack_R,14,Northern SoG,250.0,co,coho
989.001034169008,comox,2020,2020-10-07,Kanaka_Cr,14,Northern SoG,260.0,co,coho
989.001034168997,comox,2020,2020-10-07,Mamquam_R,14,Northern SoG,270.0,co,coho
989.001034169047,comox,2020,2020-10-07,Pitt_R_upper,14,Northern SoG,270.0,co,coho
989.001034168993,comox,2020,2020-10-07,Tenderfoot_Cr,14,Northern SoG,283.0,co,coho
989.001034168996,comox,2020,2020-10-07,Mamquam_R,14,Northern SoG,285.0,co,coho
989.001034170127,comox,2020,2020-10-22,Little_Campbell_R,14,Northern SoG,310.0,co,coho
989.001034169007,comox,2020,2020-10-07,Capilano_R,14,Northern SoG,290.0,co,coho
989.001034169063,comox,2020,2020-10-07,Kanaka_Cr,14,Northern SoG,280.0,co,coho
989.001034169015,comox,2020,2020-10-07,Mamquam_R,14,Northern SoG,278.0,co,coho
989.001034168986,comox,2020,2020-10-07,Harbour_Cr,14,Northern SoG,270.0,co,coho
989.001034169019,comox,2020,2020-10-07,Birkenhead_R,14,Northern SoG,294.0,co,coho
989.001034169044,comox,2020,2020-10-07,Shovelnose_Cr,14,Northern SoG,265.0,co,coho
989.001034169016,comox,2020,2020-10-07,Chehalis_R,14,Northern SoG,290.0,co,coho
989.001034169039,comox,2020,2020-10-07,Mamquam_R,14,Northern SoG,282.0,co,coho
989.001034169003,comox,2020,2020-10-07,Shovelnose_Cr,14,Northern SoG,281.0,co,coho
989.001034169025,comox,2020,2020-10-07,Nahatlatch_R,14,Northern SoG,269.0,co,none
989.001034169037,comox,2020,2020-10-07,Birch_Island_Channel,14,Northern SoG,272.0,co,coho
989.001034168973,comox,2020,2020-10-07,Nahatlatch_R,14,Northern SoG,296.0,co,none
989.001034169011,comox,2020,2020-10-07,Stave_R,14,Northern SoG,330.0,co,coho
989.001034168991,comox,2020,2020-10-07,Inch_Cr,14,Northern SoG,285.0,co,coho
989.001034169064,comox,2020,2020-10-07,Skykomish_R,14,Northern SoG,296.0,co,coho
989.001034169055,comox,2020,2020-10-07,Stave_R,14,Northern SoG,275.0,co,coho
989.001034169087,discovery_islands,2021,2021-04-19,QUALICUM_RIVER,13,Discovery Islands,315.0,ck,chinook
989.001034169111,discovery_islands,2021,2021-04-19,Quinsam_R,13,Discovery Islands,424.0,co,coho
989.001034169157,discovery_islands,2021,2021-04-19,LITTLE_QUALICUM_RIVER,13,Discovery Islands,307.0,ck,chinook
989.001034169151,discovery_islands,2021,2021-04-19,QUALICUM_RIVER,13,Discovery Islands,295.0,ck,chinook
989.001034169128,discovery_islands,2021,2021-04-19,HARRISON_RIVER,13,Discovery Islands,341.0,ck,chinook
989.001006676533,five fingers,2020,2020-09-17,Barriere_R,17,Central SoG,245.0,co,coho
989.001006676556,five fingers,2020,2020-09-17,Eagle_R,17,Central SoG,250.0,co,coho
989.001006676504,five fingers,2020,2020-09-17,Shovelnose_Cr,17,Central SoG,272.0,co,coho
989.001006676563,five fingers,2020,2020-09-17,Chilko_R,17,Central SoG,235.0,co,coho
989.001034166562,southern gulf,2021,2021-11-18,COWICHAN_RIVER,17,Southern Gulf Islands,216.0,ck,chinook
989.001006676566,five fingers,2020,2020-09-17,Chilliwack_R,17,Central SoG,270.0,co,coho
989.001006676552,five fingers,2020,2020-09-17,Nathan_Cr,17,Central SoG,241.0,co,coho
989.001006675354,five fingers,2020,2020-09-17,Chehalis_R,17,Central SoG,255.0,co,coho
989.001006675328,five fingers,2020,2020-09-17,Stave_R,17,Central SoG,280.0,co,coho
989.001006675293,five fingers,2020,2020-09-17,Sorenson_Cr_WA,17,Central SoG,246.0,co,coho
989.001006675272,five fingers,2020,2020-09-17,Stave_R,17,Central SoG,245.0,co,coho
989.001006676500,five fingers,2020,2020-09-17,Capilano_R,17,Central SoG,266.0,co,coho
989.001038904577,northern_gulf,2021,2021-11-17,LITTLE_QUALICUM_RIVER,14,Northern SoG,430.0,ck,chinook
989.001038904664,northern_gulf,2021,2021-11-18,PUNTLEDGE_RIVER,14,Northern SoG,403.0,ck,chinook
989.001034170783,northern_gulf,2022,2022-02-05,QUALICUM_RIVER,14,Northern SoG,260.0,ck,chinook
989.001038722813,discovery_islands,2022,2022-02-05,QUINSAM_RIVER,14,Northern SoG,252.0,ck,chinook
989.001038722827,discovery_islands,2022,2022-02-05,COWICHAN_RIVER,14,Northern SoG,418.0,ck,chinook
989.001038722815,discovery_islands,2022,2022-02-05,QUALICUM_RIVER,14,Northern SoG,448.0,ck,chinook
989.001038722828,discovery_islands,2022,2022-02-05,COWICHAN_RIVER,14,Northern SoG,418.0,ck,chinook
989.001038722793,discovery_islands,2022,2022-02-05,LITTLE_QUALICUM_RIVER,14,Northern SoG,290.0,ck,chinook
989.001038722875,discovery_islands,2022,2022-02-05,SOOS_CREEK,14,Northern SoG,452.0,ck,chinook
989.001038722865,discovery_islands,2022,2022-02-05,COWICHAN_RIVER,14,Northern SoG,482.0,ck,chinook
989.001041760281,northern_gulf,2022,2022-10-13,QUINSAM_RIVER,14,Northern SoG,403.0,ck,chinook
989.001039727317,discovery_islands,2022,2022-03-09,LITTLE_QUALICUM_RIVER,13,Discovery Islands,270.0,ck,chinook
989.001039727349,discovery_islands,2022,2022-03-09,PUNTLEDGE_RIVER_fall,13,Discovery Islands,270.0,ck,chinook
989.001038904366,discovery_islands,2021,2021-11-26,LITTLE_QUALICUM_RIVER,13,Discovery Islands,237.0,ck,chinook
989.001034166559,southern gulf,2021,2021-11-18,COWICHAN_RIVER,17,Southern Gulf Islands,245.0,ck,chinook
989.001034167991,juan_de_fuca,2021,2021-11-28,SOOS_CREEK,20,,215.0,ck,chinook
989.001034168012,juan_de_fuca,2021,2021-11-28,SOOS_CREEK,20,,222.0,ck,chinook
989.001034168029,juan_de_fuca,2021,2021-11-28,NITINAT_RIVER,20,,205.0,ck,chinook
989.001034167356,discovery_islands,2022,2022-01-21,CHEAKAMUS_RIVER,15,Discovery Islands,333.0,ck,chinook
989.001006607968,comox,2020,2020-10-06,Chilko_R,14,Northern SoG,248.0,co,coho
989.001006608026,comox,2020,2020-10-06,Quinsam_R,14,Northern SoG,259.0,co,coho
989.001006607964,comox,2020,2020-10-06,Chilliwack_R,14,Northern SoG,250.0,co,coho
989.001006608055,comox,2020,2020-10-06,Pig_Channel,14,Northern SoG,300.0,co,coho
989.001006608062,comox,2020,2020-10-06,Big_Qualicum_R,14,Northern SoG,315.0,co,coho
989.001006608034,comox,2020,2020-10-06,Pitt_R_upper,14,Northern SoG,303.0,co,coho
989.001006608035,comox,2020,2020-10-06,Puntledge_R,14,Northern SoG,274.0,co,coho
989.001006608057,comox,2020,2020-10-06,Goldstream_R,14,Northern SoG,328.0,co,coho
989.001006608024,comox,2020,2020-10-06,Little_Campbell_R,14,Northern SoG,305.0,co,coho
989.001006608033,comox,2020,2020-10-06,Marblemount_H,14,Northern SoG,300.0,co,coho
989.001006607974,comox,2020,2020-10-06,Inch_Cr,14,Northern SoG,306.0,co,coho
989.001006608009,comox,2020,2020-10-06,Shovelnose_Cr,14,Northern SoG,302.0,co,coho
989.001006607967,comox,2020,2020-10-06,Puntledge_R,14,Northern SoG,291.0,co,coho
989.001006608043,comox,2020,2020-10-06,Harbour_Cr,14,Northern SoG,274.0,co,coho
989.001006608028,comox,2020,2020-10-06,Tenderfoot_Cr,14,Northern SoG,296.0,co,coho
989.001006608036,comox,2020,2020-10-06,Chilliwack_R,14,Northern SoG,305.0,co,coho
989.001006608056,comox,2020,2020-10-06,Big_Qualicum_R,14,Northern SoG,298.0,co,coho
989.001006608042,comox,2020,2020-10-06,Chilliwack_R,14,Northern SoG,281.0,co,coho
989.001006608007,comox,2020,2020-10-06,Inch_Cr,14,Northern SoG,328.0,co,coho
989.001006608025,comox,2020,2020-10-06,Goldstream_R,14,Northern SoG,247.0,co,coho
989.001006608004,comox,2020,2020-10-06,Goldstream_R,14,Northern SoG,298.0,co,coho
989.001006607977,comox,2020,2020-10-06,Puntledge_R,14,Northern SoG,306.0,co,coho
989.001006607995,comox,2020,2020-10-06,Pitt_R_upper,14,Northern SoG,260.0,co,coho
989.001006607989,comox,2020,2020-10-06,Mamquam_R,14,Northern SoG,251.0,co,coho
989.001006608063,comox,2020,2020-10-06,Big_Qualicum_R,14,Northern SoG,295.0,co,coho
989.001006608037,comox,2020,2020-10-06,Shovelnose_Cr,14,Northern SoG,278.0,co,coho
989.001006607966,comox,2020,2020-10-06,Chilliwack_R,14,Northern SoG,305.0,co,coho
989.001006608048,comox,2020,2020-10-06,Goldstream_R,14,Northern SoG,304.0,co,coho
989.001006608027,comox,2020,2020-10-06,Shovelnose_Cr,14,Northern SoG,305.0,co,coho
989.001006607985,comox,2020,2020-10-06,Birkenhead_R,14,Northern SoG,288.0,co,coho
989.001006607998,comox,2020,2020-10-06,Chilko_R,14,Northern SoG,292.0,co,coho
989.001006608023,comox,2020,2020-10-06,Eagle_R,14,Northern SoG,305.0,co,coho
989.001006608005,comox,2020,2020-10-06,Skykomish_R,14,Northern SoG,256.0,co,coho
989.001006608054,comox,2020,2020-10-06,Coldwater_R,14,Northern SoG,261.0,co,coho
989.001006607983,comox,2020,2020-10-06,Little_Campbell_R,14,Northern SoG,281.0,co,coho
989.001006607965,comox,2020,2020-10-06,Puntledge_R,14,Northern SoG,260.0,co,coho
989.001006608032,comox,2020,2020-10-06,Nathan_Cr,14,Northern SoG,305.0,co,coho
989.001006607973,comox,2020,2020-10-06,Mamquam_R,14,Northern SoG,284.0,co,coho
989.001006608039,comox,2020,2020-10-06,Eagle_R,14,Northern SoG,254.0,co,coho
989.001006607997,comox,2020,2020-10-06,Capilano_R,14,Northern SoG,300.0,co,coho
989.001006607971,comox,2020,2020-10-06,Little_Campbell_R,14,Northern SoG,315.0,co,coho
989.001006608014,comox,2020,2020-10-06,Chilliwack_R,14,Northern SoG,300.0,co,coho
989.001006607972,comox,2020,2020-10-06,Birch_Island_Channel,14,Northern SoG,265.0,co,coho
989.001006608013,comox,2020,2020-10-06,Kanaka_Cr,14,Northern SoG,281.0,co,coho
989.001034169018,comox,2020,2020-10-14,Birkenhead_R,14,Northern SoG,312.0,co,coho
989.001034169012,comox,2020,2020-10-14,Barriere_R,14,Northern SoG,295.0,co,coho
989.001034169045,comox,2020,2020-10-14,Puntledge_R,14,Northern SoG,304.0,co,coho
989.001034168975,comox,2020,2020-10-14,Big_Qualicum_R,14,Northern SoG,275.0,co,coho
989.001034169028,comox,2020,2020-10-14,Marblemount_H,14,Northern SoG,299.0,co,coho
989.001034169021,comox,2020,2020-10-14,Capilano_R,14,Northern SoG,297.0,co,coho
989.001034169041,comox,2020,2020-10-14,Capilano_R,14,Northern SoG,285.0,co,coho
989.001034169069,comox,2020,2020-10-14,Birkenhead_R,14,Northern SoG,304.0,co,coho
989.001034168969,comox,2020,2020-10-14,Puntledge_R,14,Northern SoG,331.0,co,coho
989.001034169052,comox,2020,2020-10-14,Inch_Cr,14,Northern SoG,312.0,co,coho
989.001034169017,comox,2020,2020-10-14,Pig_Channel,14,Northern SoG,290.0,co,coho
989.001034168981,comox,2020,2020-10-14,Jones_Cr,14,Northern SoG,312.0,co,coho
989.001034170176,comox,2020,2020-10-22,Chilliwack_R,14,Northern SoG,293.0,co,coho
989.001034170168,comox,2020,2020-10-22,Coldwater_R,14,Northern SoG,274.0,co,coho
989.001034170142,comox,2020,2020-10-22,Stave_R,14,Northern SoG,271.0,co,coho
989.001034170166,comox,2020,2020-10-22,Little_Campbell_R,14,Northern SoG,275.0,co,coho
989.001034170107,comox,2020,2020-10-22,Stave_R,14,Northern SoG,309.0,co,coho
989.001034170112,comox,2020,2020-10-22,Marblemount_H,14,Northern SoG,301.0,co,coho
989.001034170137,comox,2020,2020-10-22,Big_Qualicum_R,14,Northern SoG,319.0,co,coho
989.001034170131,comox,2020,2020-10-22,Puntledge_R,14,Northern SoG,299.0,co,coho
989.001034170103,comox,2020,2020-10-22,Chehalis_R,14,Northern SoG,320.0,co,coho
989.001034170088,comox,2020,2020-10-22,Birch_Island_Channel,14,Northern SoG,270.0,co,coho
989.001034170143,comox,2020,2020-10-22,Mamquam_R,14,Northern SoG,301.0,co,coho
989.001034170125,comox,2020,2020-10-22,Chilliwack_R,14,Northern SoG,300.0,co,coho
989.001034170157,comox,2020,2020-10-22,Coldwater_R,14,Northern SoG,265.0,co,coho
989.001034170169,comox,2020,2020-10-22,Birkenhead_R,14,Northern SoG,295.0,co,coho
989.001034170144,comox,2020,2020-10-22,Chilliwack_R,14,Northern SoG,320.0,co,coho
989.001034170102,comox,2020,2020-10-22,Kanaka_Cr,14,Northern SoG,281.0,co,coho
