tag_id_long,date,watershed,site,species
989.001038746381,2021-04-18,englishman,martindale rd,co
989.001038746368,2021-04-18,englishman,martindale rd,co
989.001038746318,2021-04-18,englishman,martindale rd,co
989.001038746385,2021-04-18,englishman,martindale rd,co
989.001038746343,2021-04-18,englishman,martindale rd,co
989.001038746373,2021-04-18,englishman,martindale rd,co
989.001038746358,2021-04-18,englishman,martindale rd,co
989.001038746309,2021-04-18,englishman,martindale rd,co
989.001038746325,2021-04-18,englishman,martindale rd,co
989.001038746355,2021-04-18,englishman,martindale rd,co
989.001038746310,2021-04-18,englishman,martindale rd,co
989.001038746352,2021-04-18,englishman,martindale rd,co
989.001038746386,2021-04-18,englishman,martindale rd,co
989.001038746335,2021-04-18,englishman,martindale rd,co
989.001038746304,2021-04-18,englishman,martindale rd,co
989.001038746333,2021-04-18,englishman,martindale rd,rbt
989.001038746307,2021-04-18,englishman,martindale rd,co
989.001038746356,2021-04-18,englishman,martindale rd,co
989.001038746322,2021-04-18,englishman,martindale rd,co
989.001038746323,2021-04-18,englishman,martindale rd,co
989.001038746344,2021-04-18,englishman,martindale rd,co
989.001038746361,2021-04-18,englishman,martindale rd,co
989.001038746319,2021-04-20,englishman,martindale rd,co
989.001038746303,2021-04-20,englishman,martindale rd,co
989.001038746370,2021-04-20,englishman,martindale rd,co
989.001038746354,2021-04-20,englishman,martindale rd,co
989.001038746321,2021-04-20,englishman,martindale rd,co
989.001038746300,2021-04-20,englishman,martindale rd,co
989.001038744371,2021-04-20,englishman,martindale rd,co
989.001038744324,2021-04-20,englishman,center creek,co
989.001038746331,2021-04-20,englishman,martindale rd,co
989.001038746351,2021-04-20,englishman,martindale rd,co
989.001038746308,2021-04-20,englishman,martindale rd,co
989.001038746339,2021-04-20,englishman,martindale rd,co
989.001038746312,2021-04-20,englishman,martindale rd,co
989.001038744281,2021-04-20,englishman,center creek,co
989.001038744329,2021-04-20,englishman,martindale rd,co
989.001038744310,2021-04-20,englishman,martindale rd,co
989.001038744348,2021-04-20,englishman,center creek,co
989.001038746334,2021-04-20,englishman,martindale rd,co
989.001038744342,2021-04-20,englishman,martindale rd,co
989.001038746295,2021-04-20,englishman,martindale rd,co
989.001038746366,2021-04-20,englishman,martindale rd,co
989.001038744318,2021-04-20,englishman,martindale rd,co
989.001038746336,2021-04-20,englishman,martindale rd,co
989.001038744283,2021-04-20,englishman,martindale rd,co
989.001038746301,2021-04-20,englishman,martindale rd,co
989.001038744303,2021-04-20,englishman,martindale rd,co
989.001038746311,2021-04-20,englishman,martindale rd,co
989.001038744316,2021-04-20,englishman,martindale rd,co
989.001038746338,2021-04-20,englishman,martindale rd,co
989.001038744326,2021-04-20,englishman,martindale rd,co
989.001038746306,2021-04-20,englishman,martindale rd,co
989.001038746297,2021-04-20,englishman,martindale rd,co
989.001038744338,2021-04-20,englishman,martindale rd,co
989.001038744293,2021-04-20,englishman,martindale rd,co
989.001038744351,2021-04-20,englishman,martindale rd,co
989.001038746359,2021-04-20,englishman,martindale rd,co
989.001038746391,2021-04-20,englishman,martindale rd,co
989.001038746314,2021-04-20,englishman,martindale rd,co
989.001038746329,2021-04-20,englishman,martindale rd,co
989.001038746376,2021-04-20,englishman,martindale rd,co
989.001038746383,2021-04-20,englishman,martindale rd,co
989.001038744284,2021-04-20,englishman,center creek,co
989.001038744341,2021-04-20,englishman,center creek,co
989.001038744350,2021-04-20,englishman,center creek,co
989.001038746392,2021-04-20,englishman,martindale rd,co
989.001038746350,2021-04-20,englishman,martindale rd,co
989.001038744336,2021-04-20,englishman,center creek,co
989.001038744367,2021-04-20,englishman,center creek,ct
989.001038746347,2021-04-20,englishman,martindale rd,co
989.001038744328,2021-04-20,englishman,martindale rd,co
989.001038744337,2021-04-20,englishman,center creek,co
989.001038746337,2021-04-20,englishman,martindale rd,co
989.001038744361,2021-04-20,englishman,center creek,co
989.001038744354,2021-04-20,englishman,center creek,rbt
989.001038746320,2021-04-20,englishman,martindale rd,co
989.001038744369,2021-04-20,englishman,center creek,co
989.001038744313,2021-04-20,englishman,center creek,co
989.001038744285,2021-04-20,englishman,center creek,co
989.001038744330,2021-04-20,englishman,martindale rd,co
989.001038746360,2021-04-20,englishman,martindale rd,co
989.001038746365,2021-04-20,englishman,martindale rd,co
989.001038744346,2021-04-20,englishman,center creek,co
989.001038746302,2021-04-20,englishman,martindale rd,co
989.001038744286,2021-04-20,englishman,center creek,rbt
989.001038744332,2021-04-20,englishman,center creek,rbt
989.001038744372,2021-04-20,englishman,center creek,co
989.001038744294,2021-04-20,englishman,center creek,rbt
989.001038746371,2021-04-20,englishman,martindale rd,co
989.001038746390,2021-04-20,englishman,martindale rd,co
989.001038744344,2021-04-20,englishman,center creek,co
989.001038746324,2021-04-20,englishman,martindale rd,co
989.001038746380,2021-04-20,englishman,martindale rd,co
989.001038744315,2021-04-20,englishman,center creek,co
989.001038744308,2021-04-20,englishman,center creek,rbt
989.001038744325,2021-04-20,englishman,center creek,ct
989.001038744375,2021-04-20,englishman,martindale rd,co
989.001038744319,2021-04-20,englishman,martindale rd,co
989.001038746387,2021-04-20,englishman,martindale rd,co
989.001038744368,2021-04-20,englishman,martindale rd,co
989.001038746332,2021-04-20,englishman,martindale rd,co
989.001038744299,2021-04-20,englishman,martindale rd,co
989.001038746375,2021-04-20,englishman,martindale rd,co
989.001038746384,2021-04-20,englishman,martindale rd,co
989.001038744365,2021-04-20,englishman,center creek,co
989.001038744345,2021-04-20,englishman,center creek,co
989.001038744311,2021-04-20,englishman,center creek,co
989.001038744363,2021-04-20,englishman,center creek,rbt
989.001038744309,2021-04-20,englishman,center creek,co
989.001038746341,2021-04-20,englishman,martindale rd,co
989.001038746326,2021-04-20,englishman,martindale rd,co
989.001038744340,2021-04-20,englishman,center creek,co
989.001038746342,2021-04-20,englishman,martindale rd,co
989.001038744352,2021-04-20,englishman,center creek,rbt
989.001038744353,2021-04-20,englishman,center creek,co
989.001038746382,2021-04-20,englishman,martindale rd,co
989.001038746345,2021-04-20,englishman,martindale rd,co
989.001038746305,2021-04-20,englishman,martindale rd,co
989.001038744370,2021-04-20,englishman,center creek,co
989.001038746357,2021-04-20,englishman,martindale rd,co
989.001038746364,2021-04-20,englishman,martindale rd,co
989.001038744360,2021-04-20,englishman,center creek,co
989.001038744362,2021-04-20,englishman,center creek,rbt
989.001038744312,2021-04-20,englishman,center creek,co
989.001038744301,2021-04-20,englishman,center creek,ct
989.001038744304,2021-04-20,englishman,center creek,co
989.001038744364,2021-04-20,englishman,center creek,rbt
989.001038746388,2021-04-20,englishman,martindale rd,co
989.001038746362,2021-04-20,englishman,martindale rd,co
989.001038744305,2021-04-20,englishman,martindale rd,co
989.001038744314,2021-04-20,englishman,center creek,co
989.001038744306,2021-04-20,englishman,center creek,co
989.001038746374,2021-04-20,englishman,martindale rd,co
989.001038746313,2021-04-20,englishman,martindale rd,co
989.001038746328,2021-04-20,englishman,martindale rd,co
989.001038744339,2021-04-20,englishman,center creek,rbt
