date,species,count,70.2,cow bay,mainstem fence,skutz,vimy pool
2016-09-27,cn,9,,,,,
2016-10-03,cn,12,,,,,
2016-10-04,cn,29,,,,,
2016-10-11,cn,41,,,,,
2016-10-12,cn,27,,,,,
2016-10-25,cn,2,,,,,
2016-11-28,cn,3,,,,,
2017-05-17,rb,1,,,,,
2017-05-18,rb,2,,,,,
2017-05-24,bt,3,,,,,
2017-05-25,bt,1,,,,,
2017-05-26,bt,1,,,,,
2017-05-31,ctt,1,,,,,
2017-05-31,rb,2,,,,,
2017-06-19,cn,1060,,,,,
2017-06-20,cn,753,,,,,
2017-06-21,cn,1044,,,,,
2017-06-22,cn,1101,,,,,
2017-06-22,co,18,,,,,
2017-08-01,cn,8,,,,,
2017-08-09,cn,23,,,,,
2017-08-14,cn,105,,,,,
2017-08-15,cn,50,,,,,
2017-08-16,cn,58,,,,,
2017-08-21,cn,50,,,,,
2017-08-28,cn,1,,,,,
2017-09-01,cn,51,,,,,
2017-09-06,cn,7,,,,,
2017-09-07,cn,55,,,,,
2017-09-08,cn,4,,,,,
2017-09-12,cn,47,,,,,
2017-09-13,cn,41,,,,,
2017-09-14,cn,30,,,,,
2017-09-15,cn,6,,,,,
2017-09-15,st,62,,,,,
2017-09-22,cn,31,,,,,
2017-09-26,cn,68,,,,,
2017-10-05,cn,15,,,,,
2017-10-17,st,76,,,,,
2017-12-16,cn,1,,,,,
2017-12-27,cn,5,,,,,
2018-01-09,lamprey,1,,,,,
2018-01-09,st,51,,,,,
2018-01-12,cn,4,,,,,
2018-01-15,bt,1,,,,,
2018-01-15,cn,2,,,,,
2018-01-15,st,124,,,,,
2018-01-16,bt,1,,,,,
2018-01-16,st,37,,,,,
2018-02-08,cn,1,,,,,
2018-02-13,st,2,,,,,
2018-02-15,st,3,,,,,
2018-02-16,st,2,,,,,
2018-02-18,st,1,,,,,
2018-02-19,cn,1,,,,,
2018-02-19,st,30,,,,,
2018-02-23,st,3,,,,,
2018-02-24,st,6,,,,,
2018-02-25,st,4,,,,,
2018-02-27,st,3,,,,,
2018-03-01,st,1,,,,,
2018-03-02,st,6,,,,,
2018-03-03,st,5,,,,,
2018-03-04,st,3,,,,,
2018-03-05,st,81,,,,,
2018-03-06,st,85,,,,,
2018-03-07,st,2,,,,,
2018-03-21,bt,2,,,,,
2018-03-21,st,59,,,,,
2018-03-29,st,54,,,,,
2018-05-02,cn,1,,,,,
2018-05-04,cn,1,,,,,
2018-05-14,cn,52,,,,,
2018-05-14,co,3,,,,,
2018-05-14,st,1,,,,,
2018-05-15,cn,27,,,,,
2018-05-15,co,2,,,,,
2018-05-16,cn,28,,,,,
2018-05-16,co,2,,,,,
2018-05-17,cn,116,,,,,
2018-05-17,co,1,,,,,
2018-05-17,st,1,,,,,
2018-05-23,cn,34,,,,,
2018-05-25,cn,13,,,,,
2018-05-25,co,26,,,,,
2018-05-25,st,1,,,,,
2018-05-28,cn,35,,,,,
2018-05-28,co,77,,,,,
2018-05-29,cn,48,,,,,
2018-05-29,co,7,,,,,
2018-05-30,cn,12,,,,,
2018-05-30,co,65,,,,,
2018-05-31,cn,63,,,,,
2018-05-31,co,78,,,,,
2018-06-01,cn,28,,,,,
2018-06-01,co,52,,,,,
2018-06-02,cn,42,,,,,
2018-06-02,co,42,,,,,
2018-06-04,cn,29,,,,,
2018-06-04,co,18,,,,,
2018-06-05,cn,371,,,,,
2018-06-05,co,85,,,,,
2018-06-06,cn,590,,,,,
2018-06-06,co,12,,,,,
2018-06-06,st,1,,,,,
2018-06-07,cn,726,,,,,
2018-06-07,co,30,,,,,
2018-06-11,cm,1,,,,,
2018-06-11,cn,645,,,,,
2018-06-11,co,24,,,,,
2018-06-11,st,1,,,,,
2018-06-12,cn,482,,,,,
2018-06-12,co,6,,,,,
2018-06-13,cn,181,,,,,
2018-06-13,co,9,,,,,
2018-06-13,st,1,,,,,
2018-09-25,cn,9,,,,,
2018-10-03,cn,108,,,,,
2018-10-03,co,1,,,,,
2018-10-10,cn,112,,,,,
2019-01-16,cn,5,,,,,
2019-01-20,cn,1,,,,,
2019-01-21,cn,10,,,,,
2019-01-27,cn,4,,,,,
