watershed,location,earliest_detect_date,tagid
cowichan,202,2021-07-27 18:17:06.500000,989.001038734109
cowichan,202,2023-06-14 21:56:58.910000,989.001038893551
cowichan,202,2023-06-15 00:05:13.060000,989.001038893556
cowichan,202,2023-06-14 02:47:48.050000,989.001038893557
cowichan,202,2023-06-14 02:43:21.830000,989.001038893558
cowichan,202,2023-06-14 22:46:42.180000,989.001038893563
cowichan,202,2023-06-14 20:26:57.070000,989.001038893566
cowichan,202,2023-06-15 00:37:01.510000,989.001038893567
cowichan,202,2023-06-14 23:03:24.920000,989.001038893570
cowichan,202,2023-06-14 23:23:56.500000,989.001038893573
cowichan,202,2023-06-15 00:46:34.110000,989.001038893578
cowichan,202,2023-06-15 01:20:20.200000,989.001038893579
cowichan,202,2023-06-15 04:45:44.900000,989.001038893580
cowichan,202,2023-06-15 05:18:16.150000,989.001038893581
cowichan,202,2023-06-15 05:33:51.140000,989.001038893583
cowichan,202,2023-06-14 14:50:19.030000,989.001038893589
cowichan,202,2023-06-15 01:14:52.810000,989.001038893595
cowichan,202,2023-06-15 05:06:40.370000,989.001038893596
cowichan,202,2023-06-14 05:10:58.440000,989.001038893597
cowichan,202,2023-06-15 20:17:24.510000,989.001038893598
cowichan,202,2023-06-15 20:58:48.150000,989.001038893601
cowichan,202,2023-06-15 06:47:04.500000,989.001038893605
cowichan,202,2023-06-15 01:16:38.390000,989.001038893607
cowichan,202,2023-06-15 00:16:09.780000,989.001038893610
cowichan,202,2023-06-15 08:54:33.220000,989.001038893612
cowichan,202,2023-06-14 20:42:23.070000,989.001038893614
cowichan,202,2023-06-15 05:20:36.260000,989.001038893618
cowichan,202,2023-06-15 01:45:51.860000,989.001038893620
cowichan,202,2023-06-15 02:31:37.750000,989.001038893622
cowichan,202,2023-06-15 00:58:56.420000,989.001038893624
cowichan,202,2023-06-14 17:36:14.210000,989.001038893629
cowichan,202,2023-06-15 00:24:44,989.001038893633
cowichan,202,2023-06-14 19:55:51.560000,989.001038893634
cowichan,202,2023-06-15 00:21:38.670000,989.001038893640
cowichan,202,2023-06-16 03:04:27.490000,989.001038893643
cowichan,202,2023-06-15 03:29:29.980000,989.001038893645
cowichan,202,2023-06-15 02:11:08.570000,989.001038893646
cowichan,202,2023-06-15 01:00:07.720000,989.001038893647
cowichan,202,2023-06-14 23:22:21.610000,989.001038893648
cowichan,202,2023-06-14 08:47:16.320000,989.001038893653
cowichan,202,2023-06-14 00:14:48.830000,989.001038893656
cowichan,202,2023-06-14 10:22:58.570000,989.001038893660
cowichan,202,2023-06-13 10:01:09.670000,989.001038893661
cowichan,202,2023-06-14 07:05:01.070000,989.001038893663
cowichan,202,2023-06-15 05:21:32.200000,989.001038893664
cowichan,202,2023-06-18 19:19:48.030000,989.001038893667
cowichan,202,2023-06-13 21:52:11.390000,989.001038893670
