tag_id_long,watershed,river,site,method,local,water_temp_start,species,fork_length_mm,weight_g
989.001038745359,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,82,
989.001038745365,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,82,
989.001038745366,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,84,
989.001038745316,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,85,
989.001038745308,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,85,
989.001038745339,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,85,
989.001038745298,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,86,
989.001038745300,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,87,
989.001038745331,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,89,
989.001038745371,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,89,
989.001038745305,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,90,
989.001038745321,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,90,
989.001038745303,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,92,
989.001038745333,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,95,
989.001038745388,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,95,
989.001038745361,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,96,
989.001038745389,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,97,
989.001038745295,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,97,
989.001038745306,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,98,
989.001038745342,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,100,
989.001038745337,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,101,
989.001038745379,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,rbt,78,
989.001038745288,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,rbt,104,
989.001038746348,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,73,
