tag_id_long,river_or_estuary,wild_or_hatchery,stock
989.001038885290,estuary,hatchery,
989.001038885257,estuary,hatchery,
989.001038885283,estuary,hatchery,
989.001038885265,estuary,hatchery,
989.001038885299,estuary,hatchery,
989.001038885332,estuary,hatchery,
989.001038885308,estuary,hatchery,
989.001038885281,estuary,hatchery,
989.001038867147,estuary,wild,
,estuary,wild,
989.001038867182,estuary,wild,
989.001038867123,estuary,wild,
989.001038867158,estuary,wild,
989.001038885313,estuary,hatchery,
989.001038885314,estuary,hatchery,
989.001038885253,estuary,hatchery,
989.001038885316,estuary,hatchery,
989.001038885296,estuary,hatchery,
989.001038885294,estuary,hatchery,
989.001038885333,estuary,hatchery,
989.001038885274,estuary,hatchery,
989.001038885268,estuary,hatchery,
989.001038885293,estuary,hatchery,
989.001038885284,estuary,hatchery,
989.001038885303,estuary,hatchery,
989.001038885295,estuary,hatchery,
989.001038885279,estuary,hatchery,
989.001038885311,estuary,hatchery,
989.001038885323,estuary,hatchery,
989.001038885272,estuary,hatchery,
989.001038867120,estuary,wild,
989.001038867192,estuary,wild,
989.001038867150,estuary,wild,
989.001038867143,estuary,wild,
989.001038867191,estuary,wild,
989.001038885291,estuary,hatchery,
989.001038885266,estuary,hatchery,
989.001038885249,estuary,unknown,
989.001038885307,estuary,hatchery,
989.001038885260,estuary,hatchery,
989.001038885285,estuary,hatchery,
989.001038885317,estuary,hatchery,
989.001038885318,estuary,hatchery,
989.001038885301,estuary,unknown,
989.001038885331,estuary,hatchery,
989.001038885326,estuary,hatchery,
989.001038885259,estuary,hatchery,
989.001038885302,estuary,hatchery,
989.001038885320,estuary,hatchery,
989.001038885328,estuary,hatchery,
989.001038885304,estuary,hatchery,
989.001038885245,estuary,hatchery,
989.001038885277,estuary,hatchery,
989.001038885248,estuary,hatchery,
989.001038887238,estuary,hatchery,
989.001038887205,estuary,hatchery,
989.001038887161,estuary,hatchery,
989.001038887199,estuary,hatchery,
989.001038887191,estuary,hatchery,
989.001038887162,estuary,hatchery,
989.001038887167,estuary,hatchery,
989.001038887806,estuary,wild,
989.001038887755,estuary,wild,
989.001038887202,estuary,hatchery,
989.001038887237,estuary,hatchery,
989.001038887225,estuary,hatchery,
989.001038887207,estuary,hatchery,
989.001038867130,estuary,wild,
989.001038867129,estuary,hatchery,
989.001038867167,estuary,hatchery,
989.001038867157,estuary,hatchery,
989.001038867124,estuary,hatchery,
989.001038867179,estuary,hatchery,
989.001038867200,estuary,hatchery,
989.001038867218,estuary,wild,
989.001038867214,estuary,hatchery,
989.001038867164,estuary,wild,
989.001038867121,estuary,hatchery,
989.001038867201,estuary,hatchery,
989.001038867136,estuary,hatchery,
989.001038867128,estuary,hatchery,
989.001038867125,estuary,hatchery,
989.001038887766,estuary,wild,
,estuary,wild,
989.001038887765,estuary,wild,
989.001038887757,estuary,wild,
989.001038887802,estuary,wild,
989.001038887756,estuary,wild,
989.001038867209,estuary,hatchery,
989.001038867184,estuary,hatchery,
989.001038867181,estuary,hatchery,
989.001038867139,estuary,hatchery,
989.001038887821,estuary,wild,
989.001038887835,estuary,wild,
989.001038887790,estuary,wild,
989.001038887784,estuary,wild,
989.001038887819,estuary,wild,
989.001038887791,estuary,wild,
989.001038887795,estuary,wild,
,estuary,wild,
989.001038887796,estuary,wild,
989.001038887827,estuary,wild,
989.001038887841,estuary,wild,
989.001038887840,estuary,wild,
989.001038887799,estuary,wild,
989.001038887839,estuary,wild,
989.001039717558,river,wild,
989.001038867151,estuary,hatchery,
989.001038867148,estuary,hatchery,
989.001038867187,estuary,hatchery,
989.001038867217,estuary,hatchery,
989.001038867133,estuary,hatchery,
989.001038867175,estuary,hatchery,
989.001038867190,estuary,hatchery,
989.001038867206,estuary,hatchery,
989.001038867166,estuary,hatchery,
989.001038867131,estuary,hatchery,
989.001038867213,estuary,hatchery,
989.001038867163,estuary,hatchery,
989.001038867146,estuary,wild,
989.001038867177,estuary,wild,
989.001038867159,estuary,hatchery,
989.001038867173,estuary,hatchery,
989.001038887801,estuary,wild,
989.001038888180,estuary,wild,
989.001038888154,estuary,wild,
989.001038888163,estuary,wild,
989.001038888239,estuary,wild,
989.001038888181,estuary,wild,
989.001038888236,estuary,wild,
989.001038888217,estuary,wild,
989.001038867134,estuary,hatchery,
989.001038867145,estuary,hatchery,
989.001038867155,estuary,unknown,
989.001038867199,estuary,hatchery,
989.001038867119,estuary,hatchery,
989.001038867183,estuary,hatchery,
989.001038867186,estuary,hatchery,
989.001038867197,estuary,hatchery,
989.001038867122,estuary,hatchery,
989.001038867165,estuary,hatchery,
989.001038867142,estuary,hatchery,
989.001038867176,estuary,hatchery,
989.001038867137,estuary,hatchery,
989.001038867152,estuary,hatchery,
989.001038888187,estuary,wild,
989.001038888212,estuary,wild,
989.001038888222,estuary,wild,
989.001038888211,estuary,wild,
989.001038888202,estuary,wild,
989.001038888160,estuary,wild,
989.001038888169,estuary,wild,
989.001038888241,estuary,wild,
989.001038888146,estuary,wild,
989.001038867154,estuary,hatchery,
989.001038867203,estuary,hatchery,
989.001038867195,estuary,hatchery,
989.001038867149,estuary,wild,
989.001038867127,estuary,hatchery,
989.001038888189,estuary,wild,
989.001038888151,estuary,wild,
,estuary,wild,
989.001038888178,estuary,wild,
989.001038888226,estuary,wild,
989.001038888188,estuary,wild,
989.001038888209,estuary,wild,
989.001038889181,estuary,wild,
